,Species,Responder,PearsonCoef,PearsonP,SpearmanCoef,SpearmanP,PearsonPCorrected,SpearmanCorrected
0,Akkermansia-muciniphila,Bacteroides-acidifaciens,0.7750257997936018,0.00015833782693194364,0.6374764272122255,0.0044293168022779645,0.004134376592111862,0.09485953024162391
1,Akkermansia-muciniphila,Muribaculaceae,0.5149638802889577,0.028748754882630335,0.319130024430311,0.19676537197260233,0.12283558904396598,0.4816652334745995
2,Akkermansia-muciniphila,Faecalibaculum,0.20949432404540763,0.40410193596361976,0.30993135503045877,0.21070535927860257,0.6551091806163742,0.5074614182761992
3,Akkermansia-muciniphila,Parasutterella,-0.09391124871001032,0.7108992592881785,0.08245814042470699,0.744969724370194,0.8412167763359664,0.875339426134978
4,Akkermansia-muciniphila,Bacteroides,-0.5706914344685242,0.013384281348823359,-0.36654709970492005,0.13461987892674424,0.07488824088032117,0.41625883615506437
5,Alistipes,Bacteroides-acidifaciens,0.37436863318967845,0.12587486993942293,-0.11993264245296141,0.6354865342728098,0.3516303943008916,0.7953573304384862
6,Alistipes,Muribaculaceae,0.7873212202178473,0.00010532880989118168,0.4565524710452391,0.05683991033624613,0.003536038617775385,0.2841995516812306
7,Alistipes,Faecalibaculum,0.403567300959347,0.0967566570418449,0.5856783523526814,0.010653289695535249,0.29918176848465194,0.1421521027687457
8,Alistipes,Parasutterella,0.20543348395088204,0.41347938978794785,0.49363394244835823,0.037350051765487995,0.6612538250305594,0.23098058328657048
9,Alistipes,Bacteroides,-0.8123486497347061,4.210905660816156e-05,-0.4614173724635936,0.053921605976233786,0.0024739070757294913,0.2810069917834356
10,Alistipes-shahii,Bacteroides-acidifaciens,0.8157227666277462,3.683555097620588e-05,0.8402446975184625,1.2757408250216871e-05,0.0024739070757294913,0.000999330312933655
11,Alistipes-shahii,Muribaculaceae,0.18920236392615783,0.4520985430976783,0.1957273909763556,0.43635711964288676,0.6943997230585254,0.6882142491011972
12,Alistipes-shahii,Faecalibaculum,-0.1903353122131408,0.4493447631976921,-0.11418805725265334,0.6518744532813786,0.6943997230585254,0.8068444323926199
13,Alistipes-shahii,Parasutterella,-0.5789365746483033,0.011820411003225874,-0.4252515874708617,0.07852768777125531,0.07122555348097642,0.33262379783007023
14,Alistipes-shahii,Bacteroides,-0.07250869036691078,0.7749397911963755,-0.23202405928286954,0.3542095298173172,0.875532937168982,0.6292488147962084
15,Alloprevotella,Bacteroides-acidifaciens,0.6800825593395253,0.0018996026438905026,0.10466597902098464,0.6793729056301582,0.02125745815782229,0.8315241292869124
16,Alloprevotella,Muribaculaceae,0.653250773993808,0.0032856411027831485,0.3570936939283952,0.14574403861661675,0.025737521971801333,0.4367551217055753
17,Alloprevotella,Faecalibaculum,0.2528379772961816,0.31141340050989863,0.5241617557352604,0.02555358541122242,0.5792628753943684,0.18197250217082633
18,Alloprevotella,Parasutterella,0.04643962848297213,0.8548139516870752,0.5054534559097927,0.03236997311838694,0.925720178094298,0.21130399118947032
19,Alloprevotella,Bacteroides,-0.6676986584107326,0.002462394297708647,-0.427483743685575,0.07680581318576446,0.023146506398461282,0.33262379783007023
20,Anaerovorax,Bacteroides-acidifaciens,-0.3952278697201347,0.10452054336511331,-0.2965390188381133,0.2321268040646075,0.31048625466629975,0.5146207448602148
21,Anaerovorax,Muribaculaceae,-0.043194302701654065,0.864868486969034,0.08972459727322574,0.7232970244391738,0.9294711986635471,0.8656228782282432
22,Anaerovorax,Faecalibaculum,-0.2818428251282928,0.2571833138334934,-0.19890997250227035,0.428784133483267,0.4957640434188023,0.682282056427623
23,Anaerovorax,Parasutterella,-0.06155188134985705,0.8082965497289698,-0.04191477823779982,0.8688381768671437,0.9002354937739712,0.9112219700345524
24,Anaerovorax,Bacteroides,-0.12850305053742084,0.6113357788976659,-0.19852667147220504,0.4296925291544179,0.7937966873342144,0.682282056427623
25,Bacteria,Bacteroides-acidifaciens,0.2456589223718253,0.32581127611254834,0.28389324118028497,0.25358972735350066,0.5839467365505462,0.551792462296969
26,Bacteria,Muribaculaceae,-0.07747704474803722,0.7599332725573413,-0.045094246989260595,0.8589796630156707,0.8711430197608546,0.9112219700345524
