ID	Acetate	Propionate	Butyrate
Intercept	0.844465063182758	0.433599779838951	0.536528203252437
X5fb94f804715b4d90f191c413efef44e	-0.00755932709308704	0	0.0135161500153608
a8eb3e86e896febff5f3e223f84ba94b	0	0	0
dfa833b266bd2993b86feab3617b34c3	0	0	0
b6635d67cb594473ddba9f8cfba5d13d	0	0	0
X1dcd5cddd286ba7e9e4786d8d8c1d201	0	0	0
ffc36e27c82042664a16bcd4d380b286	0	-0.00121542269905175	0
d272bf25781448dde9031a24679a9012	0	0	-0.00731811718123873
X48ebe3984d06cbed00ccf035b936ad57	0	0	0
X0eebf22536faa70d10968eb4972b2736	0	0	0
X98a36346b6f54de07dc88dc9d746f58f	0	0	0
X3b8fae66a7abbaa263ab111ce4384c4e	0	0	0
X5fa91e7085571e2cbcd0e7d245975c76	0	0	0
X0b438323a296b5f2ce2c8bbe3949ee8d	0	0	0
X608f5e62b077be5515e20c7190568cf6	0	0	0
d964f7ed79965fad0e0e92378840f658	0	0	0
X26d711535837669071a59214244e02ad	0	0	0
deabfa9b86859ef2403b750939009ee3	0	0	0
fc7bca7e6ec63b7d0a2f9cd2f566a854	0	0	0
d6f6819315230e8d29170aa908269c34	0	0	-0.00720330023149182
X6bf2840673de7a07c6136b4d66f9d325	0	0	0
e1f184f23fd4768fc895db0f0739f3fe	0	0	0
X25e847d3fdcd57ed7f37169842b66d54	0	0	0
X6ea30e67bbe635644952ec53eb5ca5c5	0	0	0
d4f8d0f783cc724889c28f434833f47b	0	0	0
X7f1ba47a5fe9bbf536be6819b9ee0775	0	0	0
c625a1db96ab91c4bc591c0964ad2e53	0	0	0
X44917ba362a87c1281d77780e5f81079	0	0.000654711053793479	0
X6a4af3e3d8afcca26ca97b9181f5fc71	0	0	0
b21bbd9f9a9ee207b793d76c06672371	0	0	0
X751b9cc61b202f105e65bc5a85be6143	0	0	0
b05cb6d606346e0838a1658e7f5d81cf	0	-0.00220909500091899	0
ed5a5cac9dcdfc7b4ba9cfb56b416739	0	0	0
X97649ca025c4f3722556abb910ebde12	0	0	0
X688d5fcf10a1f7dd0c87817ed34841c8	0	0	0
e2b4d7904cc16d1b2982c5839a4caffa	0	0	0
X01ee9b2cf2da4ce04fcc4fae00a10d61	0	0	0
X4576b43e6b018f7b1f62eb9802d179f8	0	-0.00374473239991615	0
X1d7a5e7888c0040de74915748acef592	0	0	0
d4d386b7d01baf327f6b43aa568cb9e7	0	0	0
bdb392636e7dda502cd945a98970459d	0	0	0
d47c3e0c088f9573cf1fef5c3a32b048	0	0	0
X6d31fc16c44736021991f6a1b84062eb	0	0	0
X2893aeb225744a49866e347886550112	0	0	0
X42690539aa399c812b99bc18ad34b6b7	0	0	0
X70d55baf78e9ac4d0babeac5dcbae5c2	0	0	0
X80ff89a550cbfc6fc30ea25d5d3c7007	0	-0.00793276112699073	0
a08e51322ac5413f32389f362e518aef	0	0	0
a2ece058558ecb7a048d8039d6f95ca6	0	0	0
X77c25cf90fc6b99d02c4d1f242803ee8	0	0	0
e6b05a69bc7fa8dc428caa3d409c9fbb	0	0	0
X8383a9394d839568543ff7a5decb1956	0	0	0
b8687924000708365ed185954de29b2f	0	0	0
X1cc147fe2fa6654f24896c78ee5fd39b	0.000734278175035641	0	0
b62296fda4210afbee8b33ffff02a04b	0	0	0
X7c904af59c213b82d06819fcb34ac52b	0	0.00676184809893601	0
X77b9851880c51f6bd7f9f7d9eefee583	0	0	0
X2173688f3c2254db2cf905a6c350bf79	0	-0.0007284810041766	0
b6c1a8ba78f65c4a4e96627ccc53ac86	0	0	0
b8b3631368e631885bf8668ef6f72f17	0	0.0017377300329222	0
e89a2cce27fb62d4ba36d61bddd8d049	0	0	0
X631831eee09fe9fd9281110f4342c6ea	0	0	0
X160efa2a41c4cec475f79506e42374ca	0	0	0
ce7a2407ed838da5a4c2691f45431b43	0	0	0
X7a50e7bcbe0c7c0e42cd3f6eae3fbabd	0	0	0
X0d602affa45bcd64e9e95acada2e7249	0	0	0
X6653c92dc7618280b132aeae2a9291cc	0	0	0
X20eb9e532d72684b2bb01c583dde04da	0	0	0
a433e3e99f31f24d34bcf65f527b4c24	0	0	0
X321eb718bc08a25da457f5e29a2651f1	0	0	0
X7b14ce10223ee4f93b899c014bbf12b6	0	0	0
f24fb97f9535ab02ce6f7913c70cc0ee	0	0	0
X0f3d5ab93a1bdff74c4c3fbe0ad3206b	0	0	0
e078fa1b78f10c6c4094591739fd1287	0	0	0
X7d8367f922b1c21533803c8db5915f81	0	0	0
X49da2429319bb8bab3d9139319699d74	0	0	0
X8f1226eac06013c7f2b4f31f50ae353f	0	0	0
X51f7c8ee44363f94d016d6907b20aced	0	0	0
X2fb8355fa399030a621f5fa7072ce3e5	0	0	0
X8998828807c798f8468a85e42c5fed6c	0	-0.00798047540525442	0
X6c31248aab400bbb31133caffa277913	0	0	0
e9b2dd709e597470d2d8ded16c2bad44	0	0	0
X038c4d6fecc4e542d03f8e35038947bb	0	0	0
X8dd0df81528996515e782ee88f3ba77e	0	0	0
X19d1ac8febd7ed7dcecb8d12eb4954c1	0	0	0
c63a78d9ac2b192bb51009ba523dcc28	0	0	0
fd3f0ad2379a32c7bf86a3133e5b1879	0	0	0
d0a152210e2ca09c67ee88a1b3a26ab3	0	0	0
X2c5cb5d13741bf41f17cd7cc6320c2a9	0	0	0
X2459dfd1bc9cad6486f97314e0070bee	0	0	0
X277fdf63cae1ed08041a21be01b91953	0	0	0
dba42fd5fa555c066ec22372dd68225c	0	0	0
eb654aaab42daad2766ba2942283f325	0	0	0
ab44862dfbb39d25dd3f5f93a63244c7	0	6.06369385157358e-05	0
ff651bd7b0bf6148e158f353fc40b47d	0	0	0
ddcea66136110ba9eb05e9310ca7cffc	0	0	0
e3a1ce78be71c193d48a59ac3788a6fc	0	0	0
X3af1ce1958d93626781ddb08138c1555	0	0	0
X5fc798b1df3bcda5e68c5d88d8d39402	0	0	0
a6ec8ace9ba7d81d66cdb368ea2981b7	0	0	0
X38ed7202efb87e3468f28422c76f6a86	0	0	0
X64aa261a048970fe08088f8814b187bb	0	0	0
d585fd2188706c6e80793a7b50b3a779	0	0	0
X57a2780152d4c79535f9c71d21c87db8	0	0	0
X0fb2db1ddef94c9151ddad4b89516c19	0	0	0
X2285f58785ae6a5924a595d2ceae9fc0	0	0	0
X16c6f384c3a28228f7b68b1154c7feec	0	0	0
X73eef74992ee2eefd6690e4a5f1922fe	0	0	0
X352e01b25b13ceaef79c9b32cf7962eb	0	-6.3298610540473e-05	0
X888d90168e577f4d452c768943100da0	0	0	0
X00018d3f623ee7401f834d27ba565897	0	0	0
d5f054df843833cf00325882a9d6f8a8	0	0	0
X68fa6eb93675602681b474cb0ce9048b	0	0	0
X011755eb178e98e08caf70b914473557	0	0	0
X18489763aab9f6f1249bfc894a645753	0	0	0
X6a9d6559ba123b93f75f363fab20236d	0	0	0
X4babf2f17964b4cde17c9c383caa01db	0	0	0
X952c1fdc4c8295d4742b25f65e8c514a	0	0	0
X44bd1efc8d03b8e1153d643564b15e9c	0	0	0
X1f78872e14ef66392dbb931869c134ad	0	0	0
X5869a42e31899d7780629f0716109cf5	0	0	0
X85ed3d8c30f1cf7ad10a011d18724cab	0	0	0
