TaxonGroup,Acetate_export,Acetate_import,Butyrate_export,Butyrate_import,Propionate_export,Propionate_import,Inulin_degrader,AdditionalSource
Muribaculaceae,,,,,,,,
Akkermansia-muciniphila,1,,0,,1,,,
Bacteroides-acidifaciens,1,,0,,0,,,"Bacteroides acidifaciens sp. nov., isolated from the caecum of mice "
Bacteroides,1,,0,,1,,1,
Faecalibaculum,1,1,,,,,,
Parasutterella,,,,,,,,
Bacteroides-uniformis,1,,,,,,,
Alloprevotella,1,,,,,,,
Parabacteroides-goldsteinii,1,,0,,1,,,
Lachnospiraceae,,,1,,1,,,Formation of propionate and butyrate by the human colonic microbiota
Lachnospiraceae-NK4A136-group,,,,,,,,
Desulfovibrionaceae,,,,,,,,
Clostridia-UCG-014,1,1,,,,,,
Lachnospiraceae-bacterium-28-4,,,,,,,,
Helicobacter-ganmani,,,,,,,,
Escherichia-Shigella,,,,,,,,
Oscillospiraceae,,,,,,,,
Clostridia-vadinBB60-group,,,,,,,,
Parabacteroides,,,,,1,,,
Mucispirillum-schaedleri,,,,,,,,
Rikenellaceae-RC9-gut-group,,,,,,,,
Lachnospiraceae-bacterium-10-1,,,,,,,,
Colidextribacter,,,,,,,,
Oscillibacter,,,1,,,,,
Alistipes,,,1,,1,,,
Ruminococcaceae,,,1,,1,,1,Formation of propionate and butyrate by the human colonic microbiota; Dynamics of Human Gut Microbiota and Short-Chain Fatty Acids in Response to Dietary Interventions with Three Fermentable Fibers
Bacteroides-vulgatus-ATCC-8482,1,,0,,,,0,
Roseburia,,1,1,,,,,Contribution of acetate to butyrate formation by human faecal bacteria
Rikenella,1,,0,,1,,,"Acetobacteroides hydrogenigenes gen. nov., sp. nov., an anaerobic hydrogen-producing bacterium in the family Rikenellaceae isolated from a reed swamp "
Anaerotruncus,,,1,,,,,
